,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count,Dislike Count
83,Data Structures,2020-08-21 22:07:15.170962,#7 Linked List Implementation in Java Part 3 | Data Structures,tZxPqhkRLiw,2017-12-24T04:30:06Z,PT8M25S,62359,862,7
84,Data Structures,2020-08-21 22:07:15.170968,CS50 2018 - Lecture 4 - Data Structures,ed2lnJNf7HU,2018-10-09T01:46:51Z,PT2H3M28S,95041,-1,-1
85,Data Structures,2020-08-21 22:07:15.170973,Data Structures and Algorithms in Python | Python Programming Tutorial | Python Training | Edureka,xOuRE3IuEB8,2020-01-02T04:30:05Z,PT37M11S,78004,1582,72
86,Data Structures,2020-08-21 22:07:15.170980,2.7 Find length of linked list- Iterative approach | data structures,SbGRuk38MvI,2019-09-25T14:51:35Z,PT5M56S,19329,374,7
87,Data Structures,2020-08-21 22:07:15.170985,How Long It Took Me To Master Data Structures and Algorithms || How I did it || Rachit Jain,6bfXvaUl98g,2020-08-09T06:00:13Z,PT13M45S,64231,3906,89
88,Data Structures,2020-08-21 22:07:15.170996,Learn Programming Visually | Data Structures | Algorithms | C | Pointers | Python,9jIRnyAJDwM,2020-03-09T16:07:48Z,PT34S,12192,38,1
89,Data Structures,2020-08-21 22:07:15.171002,Lecture 1-  Data Structures And Analysis Of Algorithms,0qKrfT1L-1U,2020-03-09T14:54:54Z,PT15M26S,14505,690,11
90,Data Structures,2020-08-21 22:07:15.171008,Single Linked List Length | Data Structures Tutorial | Mr.Srinivas,ZhC1soR0zno,2016-09-26T21:35:20Z,PT19M43S,152547,1609,30
91,Data Structures,2020-08-21 22:07:15.171014,Pramp Mock Technical Interview - Data Structures and Algorithms,n3fZ04zL0T4,2019-04-30T00:27:31Z,PT40M30S,31577,610,9
92,Data Structures,2020-08-21 22:07:15.171020,Mastering Trees Data Structure -  Watch with Earphones,gm4Ye0fESpU,2017-09-29T11:38:00Z,PT17M11S,27478,471,17
93,Data Structures,2020-08-21 22:07:15.171026,Data Structures: Stack (Abstract Data Type),XSdXSmwb550,2012-07-14T00:44:42Z,PT8M6S,116085,734,32
94,Data Structures,2020-08-21 22:07:15.171032,Data Structures using C++: Lesson 2 - Array based Lists,vsCfgbfhyWg,2013-12-01T00:08:02Z,PT34M39S,39198,253,7
95,Data Structures,2020-08-21 22:07:15.171038,CS50 2017 - Lecture 5 - Data Structures,eZQBx8YJ6Zs,2017-09-30T18:42:17Z,PT1H45M40S,72715,-1,-1
96,Data Structures,2020-08-21 22:07:15.171044,What is an Algorithm ? | Data Structures and Algorithms,sk0yrh3DNXo,2019-02-19T14:00:08Z,PT8M26S,20679,465,11
97,Data Structures,2020-08-21 22:07:15.171050,3.8 infix to prefix using stack | Data structures,8QxlrRws9OI,2019-10-11T15:30:00Z,PT24M5S,99281,1454,56
98,Data Structures,2020-08-21 22:07:15.171056,7.1 Linear Search Algorithm with example | linear search in C | Data structures,C46QfTjVCNU,2019-06-27T09:57:33Z,PT15M9S,90835,1690,60
99,Data Structures,2020-08-21 22:07:15.171062,Deleting a node in Linked list | Data Structures Tutorial | Mr.Srinivas,qIjIwHiwkBg,2016-09-28T20:06:16Z,PT17M7S,210519,1993,63
100,Data Structures,2020-08-21 22:07:17.037058,3.8 infix to prefix using stack | Data structures,8QxlrRws9OI,2019-10-11T15:30:00Z,PT24M5S,99281,1454,56
101,Data Structures,2020-08-21 22:07:17.037084,7.1 Linear Search Algorithm with example | linear search in C | Data structures,C46QfTjVCNU,2019-06-27T09:57:33Z,PT15M9S,90835,1690,60
102,Data Structures,2020-08-21 22:07:17.037091,Deleting a node in Linked list | Data Structures Tutorial | Mr.Srinivas,qIjIwHiwkBg,2016-09-28T20:06:16Z,PT17M7S,210519,1993,63
103,Data Structures,2020-08-21 22:07:17.037120,Types of Data Structures,T9DSBhBR_I4,2020-04-05T14:30:03Z,PT4M28S,13835,341,5
104,Data Structures,2020-08-21 22:07:17.037126,How I Got Good at Algorithms and Data Structures,9-ubSA9GA3o,2020-03-15T20:07:12Z,PT11M24S,205316,9795,101
105,Data Structures,2020-08-21 22:07:17.037133,Hash Tables - Data Structures and Algorithms,riO8Rgunc0o,2020-07-13T12:00:17Z,PT21M,3329,129,0
106,Data Structures,2020-08-21 22:07:17.037145,Data structures: Array implementation of Queue,okr-XE8yTO8,2013-11-06T06:34:08Z,PT14M59S,646182,5262,136
107,Data Structures,2020-08-21 22:07:17.037154,Data Structures Applications | Learn Data Structures in Tamil | Mothertong Tamil,SCaH7tehxN0,2020-04-17T10:33:00Z,PT4M43S,1446,89,0
108,Data Structures,2020-08-21 22:07:17.037160,1.3 Array Operations | deletion from array | full explanation with code | data structure,CMbpZK_xqoc,2019-07-25T11:50:37Z,PT14M59S,39474,676,12
109,Data Structures,2020-08-21 22:07:17.037166,Data Structures and Algorithms - Advanced Java Programming Tutorial,n0GjRXs0jTk,2020-02-03T12:59:40Z,PT5H56M15S,18805,666,9
110,Data Structures,2020-08-21 22:07:17.037172,"CppCon 2014: Chandler Carruth &quot;Efficiency with Algorithms, Performance with Data Structures&quot;",fHNmRkzxHWs,2014-10-21T19:34:41Z,PT1H13M41S,146879,2347,40
111,Data Structures,2020-08-21 22:07:17.037178,Beginner To Coding Expert Guide: Data Structures &amp; Algorithms,GEN9sZxrvKA,2018-05-24T16:39:31Z,PT13M20S,7405,239,7
112,Data Structures,2020-08-21 22:07:17.037184,Top 15 Data Structures and Algorithms Interview Questions and Answers,eER96IfmntU,2019-10-08T04:05:32Z,PT5M27S,2640,37,3
113,Data Structures,2020-08-21 22:07:17.037190,Types of Data Structure Lec-2|data structure by zeenat hasan in Hindi,WM1jtUxG9B4,2019-02-24T05:50:59Z,PT12M41S,40163,1083,29
114,Data Structures,2020-08-21 22:07:17.037196,0/1 knapsack problem-Dynamic Programming | Data structures and algorithms,PfkBS9qIMRE,2019-03-06T10:00:28Z,PT27M31S,110767,1781,90
115,Data Structures,2020-08-21 22:07:17.037202,Program Queue using Array in Data Structure (Hindi),P1g3JzLKJvM,2018-02-19T08:39:39Z,PT28M19S,39271,715,23
116,Data Structures,2020-08-21 22:07:17.037208,Infix to Postfix Conversions | Data Structures Tutorial | Mr. Srinivas,p4pPawXDh0U,2017-10-04T14:24:08Z,PT11M25S,66732,-1,-1
117,Data Structures,2020-08-21 22:07:17.037214,"5.13 AVL tree - Insertion, Rotations(LL, RR, LR, RL) with example | data structure",YWqla0UX-38,2019-02-02T14:38:31Z,PT24M30S,103904,1899,56
118,Data Structures,2020-08-21 22:07:17.037220,1. Persistent Data Structures,T0yzrZL1py0,2013-12-18T17:19:53Z,PT1H23M44S,240076,1748,14
119,Data Structures,2020-08-21 22:07:17.037226,Introduction to Classes and Objects - Part 1 (Data Structures &amp; Algorithms #3),8yjkWGRlUmY,2018-03-27T04:46:07Z,PT19M51S,513187,13329,134
120,Data Structures,2020-08-21 22:07:17.037232,Python Data Structures Assignment 7.1 Solution [Coursera] | Assignment 7.1 Python Data Structures,h8ESxuIwCzs,2020-05-26T09:08:08Z,PT7M38S,7484,114,7
121,Data Structures,2020-08-21 22:07:17.037238,Data Structures: List as abstract data type,HdFG8L1sajw,2013-03-25T23:49:11Z,PT13M8S,872933,5126,121
122,Data Structures,2020-08-21 22:07:17.037244,3.2 Implementation of stack using Array | data structure,VmsTAVpz0xo,2019-09-08T12:08:18Z,PT17M27S,89964,1591,31
123,Data Structures,2020-08-21 22:07:17.037250,Roadmap to learn Data-Structures and Algorithms!! How to start competitive Programming??,c_w2LhuiJ1o,2020-04-26T07:30:11Z,PT12M43S,71529,5831,58
124,Data Structures,2020-08-21 22:07:17.037256,5.24 Insertion of elements in B-tree of order 3 | Data structures and algorithms,Ay2AbTk_QEg,2019-01-20T22:32:44Z,PT9M51S,74390,1025,36
125,Data Structures,2020-08-21 22:07:17.037262,Purely Functional Data Structures,KtltiBfvqCE,2015-06-05T12:35:54Z,PT44M32S,7962,81,7
126,Data Structures,2020-08-21 22:07:17.037272,Extended Lockdown Training Day 23 - Data Structures - 1,2ohctH7ommI,2020-05-08T05:51:06Z,PT59M55S,9113,117,5
127,Data Structures,2020-08-21 22:07:17.037280,Circular Queue | Data Structures | by Mr. Srinivas,Ig34WPrgofI,2016-10-15T06:39:38Z,PT10M1S,202399,2206,119
128,Data Structures,2020-08-21 22:07:17.037286,Master Data Structures and Algorithms | Resources | Practice problems,oAAKamOnruM,2020-08-21T09:25:21Z,PT14M15S,1387,260,4
129,Data Structures,2020-08-21 22:07:17.037292,Stack Using Single Linked List -  Part 1 | Data Structures Tutorial | Mr.Srinivas,OkkMub7pPBI,2016-10-04T16:51:15Z,PT16M5S,149759,1339,47
130,Data Structures,2020-08-21 22:07:17.037298,Time Complexity and Big O Notation - Data Structures and Algorithms,QnRx6V8YQy0,2020-05-17T12:00:10Z,PT15M49S,5378,343,3
131,Data Structures,2020-08-21 22:07:17.037304,Data structures: Introduction to stack,F1F2imiOJfk,2013-10-01T10:24:32Z,PT8M26S,492420,3545,58
