,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count,Dislike Count
78,Data Structures,2020-08-20 16:23:25.842317,Recursion | Programming and Data Structures | GATE 2021 | Satya Sir | Gradeup,9FcfG2aGoUQ,2020-04-08T14:52:00Z,PT1H3M54S,2525,108,0
79,Data Structures,2020-08-20 16:23:25.842319,Data structures: Introduction to Trees,qH6yxkw0u78,2014-01-12T08:06:59Z,PT15M50S,1067639,10521,228
80,Data Structures,2020-08-20 16:23:25.842320,Introduction to Trees (Data Structures &amp; Algorithms #9),1-l_UOFi1Xw,2020-07-25T05:04:05Z,PT10M30S,36269,1529,13
81,Data Structures,2020-08-20 16:23:25.842322,2.19 Doubly Circular Linked List - Creation and Display | Data Structures,eBCTtS_sptM,2019-09-01T05:35:12Z,PT20M27S,13232,207,4
82,Data Structures,2020-08-20 16:23:25.842324,4.1 Queue in data structure | Introduction to queues | data structures,zp6pBNbUB2U,2019-09-13T05:52:45Z,PT20M19S,87302,1613,31
83,Data Structures,2020-08-20 16:23:25.842326,The Technical Placement Course for College Students | Java + Data Structures + Algorithms,nKrkaoAk7ZE,2019-07-11T12:58:16Z,PT2M,60272,3150,47
84,Data Structures,2020-08-20 16:23:25.842327,Types of Data Structures,T9DSBhBR_I4,2020-04-05T14:30:03Z,PT4M28S,13617,335,5
85,Data Structures,2020-08-20 16:23:25.842329,Coursera: 9.4 Assignment solution// Python data structures 9.4 Assignment solution/#circuitryproject,r9ZhaDInfpg,2020-05-25T05:13:17Z,PT8M10S,2139,26,3
86,Data Structures,2020-08-20 16:23:25.842331,Do You Need To Learn Data Structures and Algorithms?,2mOgMkSFLiA,2019-07-14T14:56:29Z,PT7M53S,46813,1951,29
87,Data Structures,2020-08-20 16:23:25.842333,Data structures: Introduction to graphs,gXgEDyodOJU,2014-09-02T11:25:00Z,PT16M43S,659825,6769,140
88,Data Structures,2020-08-20 16:23:25.842339,Real Life Projects 😎using Data Structures &amp; Algorithms for Resume | Course Giveaways  🔥,iIumrTpJBjk,2020-05-14T17:37:42Z,PT59M33S,20254,692,20
89,Data Structures,2020-08-20 16:23:25.842341,"Data Structures in Java | Stack, Queue, LinkedList, Tree in Java | Edureka | Java Rewind - 4",6WasxwEnI2s,2020-08-05T13:24:13Z,PT20M37S,4678,114,3
90,Data Structures,2020-08-20 16:23:25.842343,Data Structures: Tries,zIjfhVPRZCg,2016-09-27T19:39:17Z,PT4M55S,295197,2808,104
91,Data Structures,2020-08-20 16:23:25.842345,Data Structures Tutorial in Python #3 - Arrays,gDqQf4Ekr2A,2020-03-12T12:54:31Z,PT14M15S,14288,373,7
92,Data Structures,2020-08-20 16:23:25.842346,Introduction to Data Structures in Telugu,syuZ3sMzuPE,2019-11-21T01:33:41Z,PT9M18S,2047,65,1
93,Data Structures,2020-08-20 16:23:25.842348,Circular Queue Data Structure with C++ Program Implementation | Data Structures &amp; Algorithms,KSvMGwc9dN8,2019-03-29T14:00:06Z,PT26M44S,14740,325,3
94,Data Structures,2020-08-20 16:23:25.842350,Introduction to Data Structures and Algorithms,4RLhuZ3N9nc,2020-05-16T17:29:12Z,PT19M42S,20893,1010,7
95,Data Structures,2020-08-20 16:23:25.842352,Accessing the Data in MAP Data Structure | Applications of Maps in Java | Java Beginners Tutorial,SnnRzKhlVP8,2019-05-11T12:30:00Z,PT8M30S,24482,240,8
96,Data Structures,2020-08-20 16:23:25.842353,2.2 Types of linked list in data structures,DWpVGpNfDmM,2019-08-09T10:49:50Z,PT13M15S,69735,1362,17
97,Data Structures,2020-08-20 16:23:25.842355,Top 15 Data Structures and Algorithms Interview Questions and Answers,eER96IfmntU,2019-10-08T04:05:32Z,PT5M27S,2625,37,3
98,Data Structures,2020-08-20 16:23:25.842357,Data Structures Tutorial #2 - Big O notation explained | Measuring time complexity of an algorithm,IR_S8BC8KI0,2020-03-03T02:19:31Z,PT12M31S,21088,603,18
99,Data Structures,2020-08-20 16:23:25.842359,How I Got Good at Algorithms and Data Structures,9-ubSA9GA3o,2020-03-15T20:07:12Z,PT11M24S,204758,9779,101
100,Data Structures,2020-08-20 16:23:27.417747,Circular Queue | Data Structures | by Mr. Srinivas,Ig34WPrgofI,2016-10-15T06:39:38Z,PT10M1S,202177,2201,118
101,Data Structures,2020-08-20 16:23:27.417763,TREE TERMINOLOGY - DATA STRUCTURES,-LYhq4WZ04s,2019-07-09T06:22:50Z,PT30M12S,25787,629,23
102,Data Structures,2020-08-20 16:23:27.417766,Pramp Mock Technical Interview - Data Structures and Algorithms,n3fZ04zL0T4,2019-04-30T00:27:31Z,PT40M30S,31497,609,9
103,Data Structures,2020-08-20 16:23:27.417769,Searching in Binary Search Tree | Algo &amp; Example | Data Structures | Lec-37 | Bhanu Priya,Y5rCIBa5edg,2018-08-07T02:30:50Z,PT3M57S,19129,165,3
104,Data Structures,2020-08-20 16:23:27.417772,"Data Structures In Python | List, Dictionary, Tuple, Set In Python | Python Training | Edureka",m9n2f9lhtrw,2019-11-08T06:17:45Z,PT39M58S,32671,666,29
105,Data Structures,2020-08-20 16:23:27.417776,Data Structure in C | Data Structures and Algorithms | C Programming | Great Learning,11i8bRojtYk,2020-06-22T12:45:13Z,PT2H6M37S,4311,161,7
106,Data Structures,2020-08-20 16:23:27.417783,Data Structures: Hash Tables,shs0KM3wKv8,2016-09-27T19:39:14Z,PT6M25S,806505,7936,676
107,Data Structures,2020-08-20 16:23:27.417788,Reverse Singly Linked List | Data Structures | by Mr. Srinivas,dR7v1sVX428,2016-10-14T03:00:52Z,PT17M12S,113368,1183,42
108,Data Structures,2020-08-20 16:23:27.417791,Stack in Data Structure | Data Structure Tutorial | Mr. Srinivas,BrVZZZkkGGI,2016-09-23T21:18:50Z,PT16M2S,538146,5110,190
109,Data Structures,2020-08-20 16:23:27.417797,Adjacency list | Example | Graph representation | Data Structures | Lec-49 | Bhanu Priya,kzbvvBY8qQg,2018-08-09T02:34:06Z,PT4M21S,42408,449,31
110,Data Structures,2020-08-20 16:23:27.417810,Linked List Data Structure | JavaScript,ZBdE8DElQQU,2019-07-03T16:41:49Z,PT29M36S,60466,2257,17
111,Data Structures,2020-08-20 16:23:27.417814,Introduction to Data Structures &amp; Algorithms | Course  Details &amp; Prerequisites,XCyuHSJS7XE,2019-02-06T14:57:45Z,PT6M22S,85708,1103,23
112,Data Structures,2020-08-20 16:23:27.417818,Problem Solving Using Data Structures and Algorithms,poikTM7Kpyk,2020-06-28T19:43:24Z,PT17M50S,256,11,0
113,Data Structures,2020-08-20 16:23:27.417822,5.23 Introduction to B-Trees | Data structures,94ErZ5K8XZg,2019-01-20T21:28:17Z,PT9M43S,125243,1597,80
114,Data Structures,2020-08-20 16:23:27.417827,Important Data Structures and Algorithms for Coding Interviews,aqjy-XYmNi8,2018-09-29T04:44:24Z,PT13M28S,66180,1868,39
115,Data Structures,2020-08-20 16:23:27.417831,1.4 Pointers and arrays | Data structure,4Rll-_e9-0M,2019-07-27T10:30:56Z,PT25M5S,48551,1025,13
116,Data Structures,2020-08-20 16:23:27.417837,2.7 Find length of linked list- Iterative approach | data structures,SbGRuk38MvI,2019-09-25T14:51:35Z,PT5M56S,19150,370,7
